,company,rating,location,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
105,Blue Yonder,4.3,5,1,2,1,1,3
106,Gentex (Michigan),4.3,1,1,2,0,1,2.5
107,Rapid7,4.3,3,1,0.5,0,1,2.8
108,Medidata Solutions,4.3,2,1,1,1,1,2.8
109,Atlassian,4.3,3,1,0.001,0,1,3
110,Digital Realty,4.3,4,1,2,0,1,2.7
111,Alarm.com,4.3,3,1,0.5,0,1,2.9
112,8x8,4.2,4,1,0.5,0,1,2.7
113,PROS,4.2,5,1,0.5,0,1,2.9
114,Harris Computer,4.3,5,1,1,0,1,2.6
115,Daugherty Business Solutions,4.3,1,1,0.5,0,1,3
116,Procore Technologies,4.3,4,1,0.001,1,1,2.9
117,Infoblox,4.3,4,1,0.5,0,1,2.9
118,Wrike,4,3,1,0.001,0,1,2.9
119,Fast Enterprises,4.3,4,1,0.05,1,1,2.7
120,YouTube,4.2,4,1,0.001,0,1,3.2
121,QAD,4.3,1,1,0.5,0,1,2.6
122,Paylocity,4.3,4,1,0.5,1,1,2.9
123,Jamf,4.2,1,1,0.001,0,1,2.9
124,Gusto,4.1,4,1,0.001,0,1,3.1
125,Informatica,4.2,3,1,2,0,1,3.2
126,ThoughtWorks,3.6,3,1,0.5,0,1,3.4
127,Cox Enterprises,4.2,3,1,10,0,1,2.7
128,Eventbrite,4.2,3,1,0.5,1,1,2.9
129,Scientific Research,4.2,3,1,0.5,0,0,2.4
130,Splunk,4.1,4,1,2,1,1,2.9
131,Kaspersky,4.2,5,1,1,0,1,2.9
132,Yext,4.2,3,1,0.5,0,1,2.8
133,Cadence Design Systems,4.2,2,1,2,1,1,3
135,DraftKings,4.2,2,1,0.001,1,1,2.9
136,Pluralsight,4.1,4,1,0.5,0,1,3
137,CNN,4.2,3,1,2,0,0,2.9
138,Ceridian,4.2,3,1,1,1,1,2.9
139,Mentor Graphics,4.1,2,1,2,0,0,3
140,Kronos Incorporated,4.2,2,1,2,1,1,2.8
141,CARFAX,4.2,3,2,0.001,1,1,3
142,AppNexus,4.1,4,1,0.001,1,1,3.2
143,Zendesk,4.1,4,1,1,0,1,2.8
144,Robert Bosch,4.1,1,1,10,0,0,2.9
145,Kony,4.1,3,1,0.5,0,1,3.1
146,CrowdStrike,4.1,4,1,0.5,0,1,2.7
147,BMW,4.1,5,1,10,0,1,2.8
148,Epicor Software,4.1,1,1,1,0,1,2.8
149,Orbitz Worldwide,4.1,5,1,1,1,1,3
160,Box,4.2,3,1,1,0,1,3
161,Dropbox,4.1,4,1,0.001,0,1,3.1
162,Elastic,4,3,1,0.5,0,1,2.9
163,Bullhorn,4,3,1,0.5,1,1,2.9
164,Guidewire,4,4,1,1,1,1,3.1
166,Brocade,4,5,1,5,0,1,3.1
167,Paycor,4,3,1,0.5,0,1,2.7
168,Toast Inc,4,2,1,0.001,0,1,2.8
169,NBC,4,4,1,0.01,0,0,3
171,Axway,4,4,1,0.5,0,0,2.6
172,Wix,4,4,1,1,0,0,2.9
173,CapTech,4,3,1,0.5,0,1,2.8
174,Compass,4,4,1,1,1,1,2.9
175,Nutanix,4,4,1,0.001,1,1,3.1
176,Datto ,4,2,1,0.5,0,1,2.8
177,Yardi Systems,4,4,1,1,1,1,2.9
178,United Space Alliance,4,3,1,0.1,1,1,2.7
179,Siemens PLM Software,4,4,1,0.005,0,0,3
181,[24]7.ai,4,5,1,0.5,0,1,2.7
182,Stripe,4,5,1,0.001,0,0,3
183,Pinterest,4,4,1,0.5,0,1,2.9
184,Square,3.9,4,1,2,1,1,3
185,Roku,4,4,1,1,0,1,2.9
186,Pyramid Consulting,3.9,2,1,0.5,0,1,2.8
187,American Cybersystems,3.9,3,1,1,0,1,2.7
188,Dassault Systemes,4.3,2,1,5,0,1,2.8
189,Trend Micro,4,3,1,2,0,0,2.9
191,Nimble Storage,3.9,5,1,0.5,0,1,2.8
192,EPAM,3.9,2,1,2,0,1,3.1
193,ASML,3.7,4,1,10,0,0,2.8
194,Hortonworks,3.9,4,1,0.5,1,1,3.1
195,Trianz,3.6,4,1,0.001,0,0,2.8
196,Sage,4,3,1,5,0,1,2.8
197,Appian,3.9,3,1,0.5,0,1,2.9
198,Qualtrics,3.9,4,1,0.001,1,1,3
199,Equinix,3.9,4,1,5,0,1,2.7
200,Ansys,3.9,5,1,2,0,1,3
201,Appian,3.9,5,1,0.5,0,1,2.9
202,RELX,3.8,2,1,10,0,1,2.8
203,Acxiom,3.9,5,1,2,0,1,2.7
204,Rosetta Stone,3.9,5,1,0.5,0,0,2.9
205,Criteo,3.9,1,1,5,0,1,3.2
206,Magic Leap,3.9,3,1,0.001,0,0,2.9
207,Axon,3.9,4,2,0.5,0,1,3.1
208,Workfront,3.9,4,1,0.5,0,1,2.8
209,BMC Software,3.9,3,1,5,0,1,3
210,Lenovo,3.9,3,1,10,0,1,2.8
212,Software AG,3.9,4,1,1,0,1,3
